ID;Quarter;State_faze;Exposure at initiation;Payment;Remaining exposure;Recovered exposure after default
1;1;0-15;80141.24632;8014.12;72127.12169;0
2;1;0-15;82195.07749;8219.51;73975.56974;0
3;1;0-15;31057.58455;3105.76;27951.8261;0
4;1;0-15;4565.938116;456.59;4109.344304;0
5;1;0-15;63041.14487;6304.11;56737.03039;0
6;1;0-15;44587.78564;4458.78;40129.00708;0
7;1;0-15;70493.49557;7049.35;63444.14601;0
8;1;0-15;44113.66751;4411.37;39702.30076;0
9;1;0-15;66637.33853;6663.73;59973.60468;0
10;1;0-15;71975.37481;7197.54;64777.83733;0
11;1;0-15;34894.03975;3489.40;31404.63578;0
12;1;0-15;35834.44956;3583.44;32251.00461;0
13;1;0-15;18763.30183;1876.33;16886.97165;0
14;1;0-15;96387.43491;9638.74;86748.69142;0
15;1;0-15;66067.71026;6606.77;59460.93923;0
16;1;0-15;34894.77284;3489.48;31405.29555;0
17;1;0-15;50103.11043;5010.31;45092.79939;0
18;1;0-15;32456.3958;3245.64;29210.75622;0
19;1;0-15;71920.1473;7192.01;64728.13257;0
20;1;0-15;11493.11144;1149.31;10343.8003;0
21;1;0-15;9888.814496;988.88;8899.933046;0
22;1;0-15;84143.38463;8414.34;75729.04616;0
23;1;0-15;47466.64445;4746.66;42719.98;0
24;1;0-15;73791.23145;7379.12;66412.1083;0
25;1;0-15;89984.428;8998.44;80985.9852;0
26;1;0-15;44624.0156;4462.40;40161.61404;0
27;1;0-15;8145.305782;814.53;7330.775203;0
28;1;0-15;37063.41568;3706.34;33357.07411;0
29;1;0-15;17413.80793;1741.38;15672.42714;0
30;1;0-15;31314.42057;3131.44;28182.97851;0
31;1;0-15;43115.72555;4311.57;38804.153;0
32;1;0-15;89635.7983;8963.58;80672.21847;0
33;1;0-15;88000.25019;8800.03;79200.22517;0
34;1;0-15;74567.57474;7456.76;67110.81726;0
35;1;0-15;13679.04352;1367.90;12311.13917;0
36;1;0-15;80002.70688;8000.27;72002.4362;0
37;1;0-15;66805.62177;6680.56;60125.05959;0
38;1;0-15;56282.65982;5628.27;50654.39383;0
39;1;0-15;89408.27392;8940.83;80467.44653;0
40;1;0-15;2790.459435;279.05;2511.413492;0
41;1;0-15;76344.72715;7634.47;68710.25444;0
42;1;0-15;73757.88578;7375.79;66382.0972;0
43;1;0-15;69896.65648;6989.67;62906.99083;0
44;1;0-15;28489.08317;2848.91;25640.17485;0
45;1;0-15;37397.15294;3739.72;33657.43765;0
46;1;0-15;25848.35932;2584.84;23263.52339;0
47;1;0-15;85879.22318;8587.92;77291.30086;0
48;1;0-15;45513.54397;4551.35;40962.18957;0
49;1;0-15;57174.93419;5717.49;51457.44077;0
50;1;0-15;56460.71964;5646.07;50814.64768;0
51;1;0-15;8021.780696;802.18;7219.602627;0
52;1;0-15;25842.06247;2584.21;23257.85622;0
53;1;0-15;81301.73241;8130.17;73171.55917;0
54;1;0-15;24619.6416;2461.96;22157.67744;0
55;1;0-15;92717.08048;9271.71;83445.37244;0
56;1;0-15;60603.30909;6060.33;54542.97818;0
57;1;0-15;19676.52524;1967.65;17708.87271;0
58;1;0-15;32457.24749;3245.72;29211.52274;0
59;1;0-15;50270.16482;5027.02;45243.14834;0
60;1;0-15;16988.31536;1698.83;15289.48382;0
61;1;0-15;27848.2111;2784.82;25063.38999;0
62;1;0-15;22370.12953;2237.01;20133.11658;0
63;1;0-15;68556.18754;6855.62;61700.56879;0
64;1;0-15;12803.79369;1280.38;11523.41432;0
65;1;0-15;57394.85038;5739.49;51655.36534;0
66;1;0-15;96998.81215;9699.88;87298.93094;0
67;1;0-15;49032.36217;4903.24;44129.12595;0
68;1;0-15;45152.50063;4515.25;40637.25057;0
69;1;0-15;62338.24518;6233.82;56104.42066;0
70;1;0-15;22517.91278;2251.79;20266.1215;0
71;1;0-15;98104.13499;9810.41;88293.72149;0
72;1;0-15;32546.53371;3254.65;29291.88034;0
73;1;0-15;44206.3108;4420.63;39785.67972;0
74;1;0-15;96390.38708;9639.04;86751.34837;0
75;1;0-15;42728.96487;4272.90;38456.06839;0
76;1;0-15;88655.91789;8865.59;79790.3261;0
77;1;0-15;324.433922;32.44;291.9905298;0
78;1;0-15;56340.07098;5634.01;50706.06388;0
79;1;0-15;37324.58197;3732.46;33592.12377;0
80;1;0-15;70942.82127;7094.28;63848.53914;0
81;1;0-15;97053.00412;9705.30;87347.70371;0
82;1;0-15;81376.24949;8137.62;73238.62454;0
83;1;0-15;83597.78857;8359.78;75238.00972;0
84;1;0-15;98566.49075;9856.65;88709.84167;0
85;1;0-15;48247.4027;4824.74;43422.66243;0
86;1;0-15;52724.38449;5272.44;47451.94604;0
87;1;0-15;90465.62952;9046.56;81419.06657;0
88;1;0-15;14791.15509;1479.12;13312.03958;0
89;1;0-15;82885.55707;8288.56;74597.00136;0
90;1;0-15;35794.84277;3579.48;32215.35849;0
91;1;0-15;35316.73524;3531.67;31785.06171;0
92;1;0-15;59017.10994;5901.71;53115.39894;0
